name,party
Шах Андрей Викторович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Шевченко Вера Леонидовна,Самовыдвижение
Бадмаев Владимир Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Егоров Антон Олегович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Монастырев Дмитрий Юрьевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Сараев Дмитрий Михайлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Святенко Инна Юрьевна,Самовыдвижение
Булатов Антон Эминович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Гуличева Елена Геннадьевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Николаева Елена Леонидовна,Самовыдвижение
Померанцев Георгий Александрович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Абраменко Екатерина Анатольевна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Балабуткин Алексей Алексеевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Дягилев Игорь Владимирович,Самовыдвижение
Тарасов Антон Александрович,Самовыдвижение
Тарасов Павел Михайлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Шереметьев Николай Васильевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Коцюба Владислав Вадимович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Меркулов Денис Валерьевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Орел Андрей Викторович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Полищук Станислав Петрович,Самовыдвижение
Ракитин Дмитрий Андреевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Смирнов Сергей Михайлович,Региональное отделение Общественной организации Всероссийская политическая партия Гражданская Сила в г. Москве
Стебенкова Людмила Васильевна,Самовыдвижение
Аксенов Илья Андреевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Анисимова Светлана Геннадьевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Исполатов Андрей Борисович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Калинин Владимир Александрович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Щитов Кирилл Владимирович,Самовыдвижение
Гоголев Виктор Александрович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Дрыга Алексей Сергеевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Ерохов Сергей Викторович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Коровин Сергей Николаевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Орлов Степан Владимирович,Самовыдвижение
Елисеев Сергей Геннадиевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Лазарев Константин Александрович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Павлинов Аркадий Борисович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Самышина Елена Александровна,Самовыдвижение
Артемьев Олег Германович,Самовыдвижение
Журавский Сергей Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Сергеев Николай Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Чернышов Борис Александрович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Викулин Петр Николаевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Галибин Илья Геннадьевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Жуковский Владислав Сергеевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Русецкая Маргарита Николаевна,Самовыдвижение
Цыба Алексей Николаевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Юнеман Роман Александрович,Самовыдвижение
Жандарова Юлия Александровна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Зверев Сергей Иванович,Самовыдвижение
Милешин Андрей Леонидович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Никитина Любовь Евгеньевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Шманцарь Юлия Александровна,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Бернев Владимир Владимирович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Залищак Владимир Борисович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Куликов Денис Павлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Лихачев Клим Сергеевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Мельникова Ольга Николаевна,Самовыдвижение
Падалка Сергей Андреевич,Региональное отделение в городе Москве Политической партии Российская экологическая партия Зелёные
Гринченко Владимир Владимирович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Гусева Людмила Ивановна,Самовыдвижение
Папян Гарегин Гришаевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Присняк Виктор Владимирович,Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ РОДИНА в городе Москве
Смирнов Левон Леонидович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Федоров Павел Сергеевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Гладкова Юлия Генриховна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Семенников Александр Григорьевич,Самовыдвижение
Филатов Александр Иванович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Чирков Максим Андреевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Юриков Антон Вадимович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Аграновский Дмитрий Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Васильев Сергей Иванович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Малахов Сергей Викторович,Самовыдвижение
Метлина Наталия Борисовна,Самовыдвижение
Монахов Михаил Игоревич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Рязанов Владимир Викторович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Курганский Сергей Борисович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Папета Артём Владимирович,Самовыдвижение
Покатаев Алексей Николаевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Репников Дмитрий Александрович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Рябцева Олеся Александровна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Шарапова Ольга Викторовна,Самовыдвижение
Губенко Николай Николаевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Максимов Юрий Николаевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Романович Александр Леонидович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Андрусенко Наталия Юрьевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Глек Игорь Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Еремина Людмила Александровна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Козлов Александр Михайлович,Самовыдвижение
Смирнов Станислав Александрович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Безрядов Андрей Валерьевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Бестаев Николай Самсонович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Видьманов Александр Олегович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Головченко Валерий Владимирович,Самовыдвижение
Митяев Александр Константинович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Батышева Татьяна Тимофеевна,Самовыдвижение
Гераськин Сергей Федорович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Матвеев Сергей Иванович,Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ РОДИНА в городе Москве
Михайловский Александр Всеволодович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Мороз Сергей Борисович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Суханов Игорь Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Богатыренко Герман Юрьевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Герасимов Евгений Владимирович,Самовыдвижение
Павлова Екатерина Геннадьевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Соболев Алексей Анатольевич,Самовыдвижение
Фролова Ольга Викторовна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Енгалычева Екатерина Александровна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Кагарлицкий Борис Юльевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Коршунова Ольга Сергеевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Костычева Марина Александровна,Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ РОДИНА в городе Москве
Меньшиков Михаил Васильевич,Самовыдвижение
Никитин Кирилл Михайлович,Самовыдвижение
Раменский Павел Олегович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Боровик Евгений Михайлович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Климентьев Роман Валерьевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Кошлаков-Крестовский Дмитрий Владимирович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Митрохин Сергей Сергеевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Нечаева Екатерина Сергеевна,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Свиридов Илья Тимурович,Самовыдвижение
Шалимова Надежда Валерьевна,Самовыдвижение
