name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Митяев Александр Константинович,39,4374,184190,39424,1075,1987,23.07,0.58,1.08,False,1,0,-1,-1,5
Батышева Татьяна Тимофеевна,40,13280,183216,33116,788,1954,19.57,0.43,1.07,True,1,0,1,1,0
Гераськин Сергей Федорович,40,2601,183216,33116,788,1954,19.57,0.43,1.07,False,1,0,-1,-1,5
Матвеев Сергей Иванович,40,1308,183216,33116,788,1954,19.57,0.43,1.07,False,1,0,-1,-1,7
Михайловский Александр Всеволодович,40,3585,183216,33116,788,1954,19.57,0.43,1.07,False,1,0,-1,-1,8
Мороз Сергей Борисович,40,1866,183216,33116,788,1954,19.57,0.43,1.07,False,1,0,-1,-1,3
Суханов Игорь Владимирович,40,11718,183216,33116,788,1954,19.57,0.43,1.07,False,1,1,-1,-1,4
Богатыренко Герман Юрьевич,41,2154,163708,27592,875,2262,18.77,0.53,1.38,False,2,0,-1,-1,5
Герасимов Евгений Владимирович,41,12602,163708,27592,875,2262,18.77,0.53,1.38,True,2,0,1,1,0
Павлова Екатерина Геннадьевна,41,2002,163708,27592,875,2262,18.77,0.53,1.38,False,2,0,-1,-1,3
Соболев Алексей Анатольевич,41,2228,163708,27592,875,2262,18.77,0.53,1.38,False,2,0,-1,0,0
Фролова Ольга Викторовна,41,10546,163708,27592,875,2262,18.77,0.53,1.38,False,2,1,-1,-1,4
Енгалычева Екатерина Александровна,42,14298,160709,30185,1013,2319,20.86,0.63,1.44,True,4,1,0,-1,4
Кагарлицкий Борис Юльевич,42,2974,160709,30185,1013,2319,20.86,0.63,1.44,False,4,0,-1,-1,8
Коршунова Ольга Сергеевна,42,1203,160709,30185,1013,2319,20.86,0.63,1.44,False,4,0,-1,-1,3
Костычева Марина Александровна,42,916,160709,30185,1013,2319,20.86,0.63,1.44,False,4,0,-1,-1,7
Меньшиков Михаил Васильевич,42,2936,160709,30185,1013,2319,20.86,0.63,1.44,False,4,0,-1,0,0
Никитин Кирилл Михайлович,42,6948,160709,30185,1013,2319,20.86,0.63,1.44,False,4,0,-1,1,0
Раменский Павел Олегович,42,3179,160709,30185,1013,2319,20.86,0.63,1.44,False,4,0,-1,-1,5
Боровик Евгений Михайлович,43,4952,144778,32966,822,2380,24.98,0.57,1.64,False,7,0,-1,-1,8
Климентьев Роман Валерьевич,43,6529,144778,32966,822,2380,24.98,0.57,1.64,False,7,0,-1,-1,4
Кошлаков-Крестовский Дмитрий Владимирович,43,7231,144778,32966,822,2380,24.98,0.57,1.64,False,7,0,-1,-1,5
Митрохин Сергей Сергеевич,43,16120,144778,32966,822,2380,24.98,0.57,1.64,True,7,1,0,-1,9
Нечаева Екатерина Сергеевна,44,1714,157114,33582,577,3143,23.74,0.37,2.0,False,3,0,-1,-1,5
Свиридов Илья Тимурович,44,15738,157114,33582,577,3143,23.74,0.37,2.0,False,3,0,-1,1,0
Шалимова Надежда Валерьевна,44,1793,157114,33582,577,3143,23.74,0.37,2.0,False,3,0,-1,0,0
Шувалова Елена Анатольевна,44,16710,157114,33582,577,3143,23.74,0.37,2.0,True,3,1,0,-1,4
Касамара Валерия Александровна,45,11014,148192,30459,592,3045,23.01,0.4,2.05,False,6,0,-1,1,0
Конев Михаил Андреевич,45,3365,148192,30459,592,3045,23.01,0.4,2.05,False,6,0,-1,0,0
Турушев Евгений Иванович,45,4124,148192,30459,592,3045,23.01,0.4,2.05,False,6,0,-1,-1,5
Яндиев Магомет Исаевич,45,12942,148192,30459,592,3045,23.01,0.4,2.05,True,6,1,0,-1,8
