name,party,smart_vote,joined_united_rus,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined
Булатов Антон Эминович,3,0,-1,23,2183,145703,26857,403,2616,20.5,0.28,1.8,0,4
Гуличева Елена Геннадьевна,4,1,-1,23,10782,145703,26857,403,2616,20.5,0.28,1.8,0,4
Померанцев Георгий Александрович,5,0,-1,23,2694,145703,26857,403,2616,20.5,0.28,1.8,0,4
Николаева Елена Леонидовна,0,0,1,23,12119,145703,26857,403,2616,20.5,0.28,1.8,1,4
Абраменко Екатерина Анатольевна,8,0,-1,24,2565,173481,35129,650,4351,23.13,0.37,2.51,0,0
Балабуткин Алексей Алексеевич,3,0,-1,24,1095,173481,35129,650,4351,23.13,0.37,2.51,0,0
Дягилев Игорь Владимирович,0,0,-1,24,13241,173481,35129,650,4351,23.13,0.37,2.51,0,0
Тарасов Антон Александрович,0,0,-1,24,2975,173481,35129,650,4351,23.13,0.37,2.51,0,0
Шереметьев Николай Васильевич,5,0,-1,24,3105,173481,35129,650,4351,23.13,0.37,2.51,0,0
Тарасов Павел Михайлович,4,1,0,24,15603,173481,35129,650,4351,23.13,0.37,2.51,1,0
Коцюба Владислав Вадимович,8,0,-1,25,887,143226,27708,351,3067,21.73,0.25,2.14,0,3
Меркулов Денис Валерьевич,5,0,-1,25,2967,143226,27708,351,3067,21.73,0.25,2.14,0,3
Орел Андрей Викторович,4,1,-1,25,10488,143226,27708,351,3067,21.73,0.25,2.14,0,3
Полищук Станислав Петрович,0,0,-1,25,642,143226,27708,351,3067,21.73,0.25,2.14,0,3
Ракитин Дмитрий Андреевич,3,0,-1,25,1344,143226,27708,351,3067,21.73,0.25,2.14,0,3
Смирнов Сергей Михайлович,1,0,-1,25,1945,143226,27708,351,3067,21.73,0.25,2.14,0,3
Стебенкова Людмила Васильевна,0,0,1,25,11600,143226,27708,351,3067,21.73,0.25,2.14,1,3
Аксенов Илья Андреевич,5,0,-1,26,2567,140568,25794,421,2153,20.18,0.3,1.53,0,0
Анисимова Светлана Геннадьевна,3,0,-1,26,3243,140568,25794,421,2153,20.18,0.3,1.53,0,0
Исполатов Андрей Борисович,4,1,-1,26,3709,140568,25794,421,2153,20.18,0.3,1.53,0,0
Калинин Владимир Александрович,8,0,-1,26,7087,140568,25794,421,2153,20.18,0.3,1.53,0,0
Щитов Кирилл Владимирович,0,0,1,26,10553,140568,25794,421,2153,20.18,0.3,1.53,1,0
Орлов Степан Владимирович,0,0,1,27,12943,144980,29069,513,1876,21.7,0.35,1.29,1,0
Гоголев Виктор Александрович,3,0,-1,27,1959,144980,29069,513,1876,21.7,0.35,1.29,0,0
Дрыга Алексей Сергеевич,4,1,-1,27,11044,144980,29069,513,1876,21.7,0.35,1.29,0,0
Ерохов Сергей Викторович,8,0,-1,27,1999,144980,29069,513,1876,21.7,0.35,1.29,0,0
Коровин Сергей Николаевич,5,0,-1,27,2285,144980,29069,513,1876,21.7,0.35,1.29,0,0
Елисеев Сергей Геннадиевич,5,0,-1,28,2377,143737,26861,431,2632,20.82,0.3,1.83,0,1
Лазарев Константин Александрович,4,1,-1,28,6992,143737,26861,431,2632,20.82,0.3,1.83,0,1
Павлинов Аркадий Борисович,8,0,-1,28,7716,143737,26861,431,2632,20.82,0.3,1.83,0,1
Самышина Елена Александровна,0,0,1,28,11570,143737,26861,431,2632,20.82,0.3,1.83,1,1
Артемьев Олег Германович,0,0,1,29,11560,147489,25366,470,2065,18.92,0.32,1.4,1,1
Журавский Сергей Владимирович,8,0,-1,29,2337,147489,25366,470,2065,18.92,0.32,1.4,0,1
Сергеев Николай Владимирович,4,1,-1,29,9288,147489,25366,470,2065,18.92,0.32,1.4,0,1
Чернышов Борис Александрович,5,0,-1,29,3510,147489,25366,470,2065,18.92,0.32,1.4,0,1
Русецкая Маргарита Николаевна,0,0,1,30,9645,155055,31819,316,1799,21.89,0.2,1.16,1,3
Викулин Петр Николаевич,3,0,-1,30,2641,155055,31819,316,1799,21.89,0.2,1.16,0,3
Галибин Илья Геннадьевич,5,0,-1,30,1387,155055,31819,316,1799,21.89,0.2,1.16,0,3
Жуковский Владислав Сергеевич,4,1,-1,30,8346,155055,31819,316,1799,21.89,0.2,1.16,0,3
Цыба Алексей Николаевич,8,0,-1,30,1156,155055,31819,316,1799,21.89,0.2,1.16,0,3
Юнеман Роман Александрович,0,0,-1,30,9561,155055,31819,316,1799,21.89,0.2,1.16,0,3
Никитина Любовь Евгеньевна,4,1,0,31,13173,144846,27625,614,1609,20.61,0.42,1.11,1,1
Жандарова Юлия Александровна,8,0,-1,31,2349,144846,27625,614,1609,20.61,0.42,1.11,0,1
Зверев Сергей Иванович,0,0,-1,31,8774,144846,27625,614,1609,20.61,0.42,1.11,0,1
Милешин Андрей Леонидович,3,0,-1,31,2669,144846,27625,614,1609,20.61,0.42,1.11,0,1
Шманцарь Юлия Александровна,5,0,-1,31,1755,144846,27625,614,1609,20.61,0.42,1.11,0,1
Мельникова Ольга Николаевна,0,0,1,32,12119,145555,29467,486,3330,22.87,0.33,2.29,1,1
Бернев Владимир Владимирович,5,0,-1,32,2192,145555,29467,486,3330,22.87,0.33,2.29,0,1
Залищак Владимир Борисович,8,1,-1,32,2192,145555,29467,486,3330,22.87,0.33,2.29,0,1
Куликов Денис Павлович,3,0,-1,32,1665,145555,29467,486,3330,22.87,0.33,2.29,0,1
Лихачев Клим Сергеевич,4,0,-1,32,11679,145555,29467,486,3330,22.87,0.33,2.29,0,1
Падалка Сергей Андреевич,2,0,-1,32,2155,145555,29467,486,3330,22.87,0.33,2.29,0,1
Гусева Людмила Ивановна,0,0,1,33,14401,184588,32959,932,1471,19.16,0.5,0.8,1,1
Гринченко Владимир Владимирович,5,0,-1,33,3127,184588,32959,932,1471,19.16,0.5,0.8,0,1
Папян Гарегин Гришаевич,8,0,-1,33,1132,184588,32959,932,1471,19.16,0.5,0.8,0,1
Присняк Виктор Владимирович,7,0,-1,33,1451,184588,32959,932,1471,19.16,0.5,0.8,0,1
Смирнов Левон Леонидович,4,1,-1,33,11284,184588,32959,932,1471,19.16,0.5,0.8,0,1
Федоров Павел Сергеевич,3,0,-1,33,2731,184588,32959,932,1471,19.16,0.5,0.8,0,1
Семенников Александр Григорьевич,0,0,1,34,11888,162669,29802,1091,1888,20.15,0.67,1.16,1,0
Гладкова Юлия Генриховна,4,1,-1,34,11314,162669,29802,1091,1888,20.15,0.67,1.16,0,0
Филатов Александр Иванович,3,0,-1,34,2071,162669,29802,1091,1888,20.15,0.67,1.16,0,0
Чирков Максим Андреевич,8,0,-1,34,4157,162669,29802,1091,1888,20.15,0.67,1.16,0,0
Юриков Антон Вадимович,5,0,-1,34,2106,162669,29802,1091,1888,20.15,0.67,1.16,0,0
Метлина Наталия Борисовна,0,0,1,35,13285,174827,34762,858,2397,21.75,0.49,1.37,1,0
Аграновский Дмитрий Владимирович,4,0,-1,35,4485,174827,34762,858,2397,21.75,0.49,1.37,0,0
Васильев Сергей Иванович,8,1,-1,35,10754,174827,34762,858,2397,21.75,0.49,1.37,0,0
Малахов Сергей Викторович,0,0,-1,35,2866,174827,34762,858,2397,21.75,0.49,1.37,0,0
Монахов Михаил Игоревич,5,0,-1,35,2204,174827,34762,858,2397,21.75,0.49,1.37,0,0
Рязанов Владимир Викторович,3,0,-1,35,3021,174827,34762,858,2397,21.75,0.49,1.37,0,0
Курганский Сергей Борисович,4,1,-1,36,10845,145138,27537,956,2502,21.36,0.66,1.72,0,0
Папета Артём Владимирович,0,0,-1,36,1084,145138,27537,956,2502,21.36,0.66,1.72,0,0
Покатаев Алексей Николаевич,3,0,-1,36,1308,145138,27537,956,2502,21.36,0.66,1.72,0,0
Репников Дмитрий Александрович,5,0,-1,36,3618,145138,27537,956,2502,21.36,0.66,1.72,0,0
Рябцева Олеся Александровна,8,0,-1,36,2141,145138,27537,956,2502,21.36,0.66,1.72,0,0
Шарапова Ольга Викторовна,0,0,1,36,10871,145138,27537,956,2502,21.36,0.66,1.72,1,0
Губенко Николай Николаевич,4,1,0,37,20621,170972,32023,1035,2411,20.75,0.61,1.41,1,2
Максимов Юрий Николаевич,5,0,-1,37,6751,170972,32023,1035,2411,20.75,0.61,1.41,0,2
Романович Александр Леонидович,8,0,-1,37,6076,170972,32023,1035,2411,20.75,0.61,1.41,0,2
Козлов Александр Михайлович,0,0,1,38,22021,254738,58759,944,2146,24.28,0.37,0.84,1,1
Андрусенко Наталия Юрьевна,3,0,-1,38,5179,254738,58759,944,2146,24.28,0.37,0.84,0,1
Глек Игорь Владимирович,8,0,-1,38,15437,254738,58759,944,2146,24.28,0.37,0.84,0,1
Еремина Людмила Александровна,4,1,-1,38,9175,254738,58759,944,2146,24.28,0.37,0.84,0,1
Смирнов Станислав Александрович,5,0,-1,38,6523,254738,58759,944,2146,24.28,0.37,0.84,0,1
Головченко Валерий Владимирович,0,0,1,39,14992,184190,39424,1075,1986,23.07,0.58,1.08,1,1
Безрядов Андрей Валерьевич,8,0,-1,39,4483,184190,39424,1075,1986,23.07,0.58,1.08,0,1
Бестаев Николай Самсонович,3,0,-1,39,4274,184190,39424,1075,1986,23.07,0.58,1.08,0,1
Видьманов Александр Олегович,4,1,-1,39,11945,184190,39424,1075,1986,23.07,0.58,1.08,0,1
Митяев Александр Константинович,5,0,-1,39,4374,184190,39424,1075,1986,23.07,0.58,1.08,0,1
Батышева Татьяна Тимофеевна,0,0,1,40,13280,183216,33116,788,1955,19.57,0.43,1.07,1,1
Гераськин Сергей Федорович,5,0,-1,40,2601,183216,33116,788,1955,19.57,0.43,1.07,0,1
Матвеев Сергей Иванович,7,0,-1,40,1308,183216,33116,788,1955,19.57,0.43,1.07,0,1
Михайловский Александр Всеволодович,8,0,-1,40,3585,183216,33116,788,1955,19.57,0.43,1.07,0,1
Мороз Сергей Борисович,3,0,-1,40,1866,183216,33116,788,1955,19.57,0.43,1.07,0,1
Суханов Игорь Владимирович,4,1,-1,40,11718,183216,33116,788,1955,19.57,0.43,1.07,0,1
Герасимов Евгений Владимирович,0,0,1,41,12602,163708,27592,875,2268,18.77,0.53,1.39,1,2
Богатыренко Герман Юрьевич,5,0,-1,41,2154,163708,27592,875,2268,18.77,0.53,1.39,0,2
Павлова Екатерина Геннадьевна,3,0,-1,41,2002,163708,27592,875,2268,18.77,0.53,1.39,0,2
Соболев Алексей Анатольевич,0,0,-1,41,2228,163708,27592,875,2268,18.77,0.53,1.39,0,2
Фролова Ольга Викторовна,4,1,-1,41,10546,163708,27592,875,2268,18.77,0.53,1.39,0,2
Енгалычева Екатерина Александровна,4,1,0,42,14298,160709,30185,1013,2318,20.86,0.63,1.44,1,4
Кагарлицкий Борис Юльевич,8,0,-1,42,2974,160709,30185,1013,2318,20.86,0.63,1.44,0,4
Коршунова Ольга Сергеевна,3,0,-1,42,1203,160709,30185,1013,2318,20.86,0.63,1.44,0,4
Костычева Марина Александровна,7,0,-1,42,916,160709,30185,1013,2318,20.86,0.63,1.44,0,4
Меньшиков Михаил Васильевич,0,0,-1,42,2936,160709,30185,1013,2318,20.86,0.63,1.44,0,4
Никитин Кирилл Михайлович,0,0,-1,42,6948,160709,30185,1013,2318,20.86,0.63,1.44,0,4
Раменский Павел Олегович,5,0,-1,42,3179,160709,30185,1013,2318,20.86,0.63,1.44,0,4
Митрохин Сергей Сергеевич,9,1,0,43,16120,144778,32966,822,2383,24.98,0.57,1.65,1,7
Боровик Евгений Михайлович,8,0,-1,43,4952,144778,32966,822,2383,24.98,0.57,1.65,0,7
Климентьев Роман Валерьевич,4,0,-1,43,6529,144778,32966,822,2383,24.98,0.57,1.65,0,7
Кошлаков-Крестовский Дмитрий Владимирович,5,0,-1,43,7231,144778,32966,822,2383,24.98,0.57,1.65,0,7
Шувалова Елена Анатольевна,4,0,0,44,16710,157114,33582,577,3143,23.74,0.37,2,1,3
Нечаева Екатерина Сергеевна,5,1,-1,44,1714,157114,33582,577,3143,23.74,0.37,2,0,3
Свиридов Илья Тимурович,0,1,-1,44,15738,157114,33582,577,3143,23.74,0.37,2,0,3
Шалимова Надежда Валерьевна,0,1,-1,44,1793,157114,33582,577,3143,23.74,0.37,2,0,3
Яндиев Магомет Исаевич,8,1,0,45,12942,148192,30459,592,3058,23.02,0.4,2.06,1,6
Касамара Валерия Александровна,0,0,-1,45,11014,148192,30459,592,3058,23.02,0.4,2.06,0,6
Конев Михаил Андреевич,0,0,-1,45,3365,148192,30459,592,3058,23.02,0.4,2.06,0,6
Турушев Евгений Иванович,5,0,-1,45,4124,148192,30459,592,3058,23.02,0.4,2.06,0,6
