name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated
Ломакина Татьяна Евгеньевна,32,12036,152142,30832,679,2023,22.04,0.45,1.33,True,10,1,4,1
Почукаев Анатолий Юрьевич,32,2927,152142,30832,679,2023,22.04,0.45,1.33,False,7,0,4,0
Чернышов Борис Александрович,32,1828,152142,30832,679,2023,22.04,0.45,1.33,False,5,0,4,0
Шинкаренко Татьяна Андреевна,32,1510,152142,30832,679,2023,22.04,0.45,1.33,False,0,0,4,0
Греков Платон Евгеньевич,33,2403,176030,32040,702,1287,19.33,0.4,0.73,False,5,0,3,0
Гусева Людмила Ивановна,33,18979,176030,32040,702,1287,19.33,0.4,0.73,True,10,1,3,1
Макаров Вячеслав Геннадьевич,33,2199,176030,32040,702,1287,19.33,0.4,0.73,False,8,0,3,0
Попов Александр Викторович,33,3143,176030,32040,702,1287,19.33,0.4,0.73,False,9,0,3,0
Тарасов Антон Александрович,33,6155,176030,32040,702,1287,19.33,0.4,0.73,False,4,0,3,0
Животов Геннадий Васильевич,34,5424,168565,31214,504,1453,19.68,0.3,0.86,False,4,0,3,0
Кочетков Владимир Валерьевич,34,7034,168565,31214,504,1453,19.68,0.3,0.86,False,8,0,3,0
Огородников Георгий Борисович,34,3358,168565,31214,504,1453,19.68,0.3,0.86,False,9,0,3,0
Семенников Александр Григорьевич,34,13913,168565,31214,504,1453,19.68,0.3,0.86,True,10,1,3,1
Юриков Антон Вадимович,34,2209,168565,31214,504,1453,19.68,0.3,0.86,False,5,0,3,0
Анохина Ольга Ярославовна,35,6393,177390,35112,463,1823,21.08,0.26,1.03,False,4,0,3,0
Борщев Валерий Васильевич,35,5420,177390,35112,463,1823,21.08,0.26,1.03,False,9,0,3,0
Васильев Сергей Иванович,35,8579,177390,35112,463,1823,21.08,0.26,1.03,False,8,0,3,0
Лайшев Ренат Алексеевич,35,13771,177390,35112,463,1823,21.08,0.26,1.03,True,0,1,3,0
Паращенко Сергей Николаевич,35,869,177390,35112,463,1823,21.08,0.26,1.03,False,5,0,3,0
Устинов Арсений Григорьевич,35,1126,177390,35112,463,1823,21.08,0.26,1.03,False,0,0,3,0
Волков Николай Юрьевич,36,4561,145974,27853,805,1840,20.89,0.55,1.26,False,4,0,3,0
Гринченко Владимир Владимирович,36,1137,145974,27853,805,1840,20.89,0.55,1.26,False,5,0,3,0
Росс Сергей Геннадьевич,36,4843,145974,27853,805,1840,20.89,0.55,1.26,False,8,0,3,0
Семенов Григорий Викторович,36,3515,145974,27853,805,1840,20.89,0.55,1.26,False,9,0,3,0
Шарапова Ольга Викторовна,36,15222,145974,27853,805,1840,20.89,0.55,1.26,True,0,1,3,0
Вышегородцев Михаил Михайлович,37,4454,174390,32568,815,1799,20.17,0.47,1.03,False,11,0,6,0
Губенко Николай Николаевич,37,11145,174390,32568,815,1799,20.17,0.47,1.03,True,4,0,6,0
Мишин Геннадий Александрович,37,1203,174390,32568,815,1799,20.17,0.47,1.03,False,5,0,6,0
