name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won
Галибин Илья Геннадьевич,30,1387,155055,31819,316,1799,21.89,0.2,1.16,False
Жуковский Владислав Сергеевич,30,8346,155055,31819,316,1799,21.89,0.2,1.16,False
Русецкая Маргарита Николаевна,30,9645,155055,31819,316,1799,21.89,0.2,1.16,True
Цыба Алексей Николаевич,30,1156,155055,31819,316,1799,21.89,0.2,1.16,False
Юнеман Роман Александрович,30,9561,155055,31819,316,1799,21.89,0.2,1.16,False
Жандарова Юлия Александровна,31,2349,144846,27625,614,1609,20.61,0.42,1.11,False
Зверев Сергей Иванович,31,8774,144846,27625,614,1609,20.61,0.42,1.11,False
Милешин Андрей Леонидович,31,2669,144846,27625,614,1609,20.61,0.42,1.11,False
Никитина Любовь Евгеньевна,31,13173,144846,27625,614,1609,20.61,0.42,1.11,True
Шманцарь Юлия Александровна,31,1755,144846,27625,614,1609,20.61,0.42,1.11,False
Бернев Владимир Владимирович,32,2192,145555,29467,486,3330,22.87,0.33,2.29,False
Залищак Владимир Борисович,32,2192,145555,29467,486,3330,22.87,0.33,2.29,False
Куликов Денис Павлович,32,1665,145555,29467,486,3330,22.87,0.33,2.29,False
Лихачев Клим Сергеевич,32,11679,145555,29467,486,3330,22.87,0.33,2.29,False
Мельникова Ольга Николаевна,32,12119,145555,29467,486,3330,22.87,0.33,2.29,True
Падалка Сергей Андреевич,32,2155,145555,29467,486,3330,22.87,0.33,2.29,False
Гринченко Владимир Владимирович,33,3127,184588,32959,932,1471,19.16,0.5,0.8,False
Гусева Людмила Ивановна,33,14401,184588,32959,932,1471,19.16,0.5,0.8,True
Папян Гарегин Гришаевич,33,1132,184588,32959,932,1471,19.16,0.5,0.8,False
Присняк Виктор Владимирович,33,1451,184588,32959,932,1471,19.16,0.5,0.8,False
Смирнов Левон Леонидович,33,11284,184588,32959,932,1471,19.16,0.5,0.8,False
Федоров Павел Сергеевич,33,2731,184588,32959,932,1471,19.16,0.5,0.8,False
Гладкова Юлия Генриховна,34,11314,162669,29802,1091,1888,20.15,0.67,1.16,False
Семенников Александр Григорьевич,34,11888,162669,29802,1091,1888,20.15,0.67,1.16,True
Филатов Александр Иванович,34,2071,162669,29802,1091,1888,20.15,0.67,1.16,False
Чирков Максим Андреевич,34,4157,162669,29802,1091,1888,20.15,0.67,1.16,False
Юриков Антон Вадимович,34,2106,162669,29802,1091,1888,20.15,0.67,1.16,False
Аграновский Дмитрий Владимирович,35,4485,174827,34762,858,2397,21.75,0.49,1.37,False
Васильев Сергей Иванович,35,10754,174827,34762,858,2397,21.75,0.49,1.37,False
Малахов Сергей Викторович,35,2866,174827,34762,858,2397,21.75,0.49,1.37,False
Метлина Наталия Борисовна,35,13285,174827,34762,858,2397,21.75,0.49,1.37,True
Монахов Михаил Игоревич,35,2204,174827,34762,858,2397,21.75,0.49,1.37,False
Рязанов Владимир Викторович,35,3021,174827,34762,858,2397,21.75,0.49,1.37,False
Курганский Сергей Борисович,36,10845,145138,27537,956,2502,21.36,0.66,1.72,False
Папета Артём Владимирович,36,1084,145138,27537,956,2502,21.36,0.66,1.72,False
Покатаев Алексей Николаевич,36,1308,145138,27537,956,2502,21.36,0.66,1.72,False
Репников Дмитрий Александрович,36,3618,145138,27537,956,2502,21.36,0.66,1.72,False
Рябцева Олеся Александровна,36,2141,145138,27537,956,2502,21.36,0.66,1.72,False
Шарапова Ольга Викторовна,36,10871,145138,27537,956,2502,21.36,0.66,1.72,True
Губенко Николай Николаевич,37,20621,170972,32023,1035,2411,20.75,0.61,1.41,True
Максимов Юрий Николаевич,37,6751,170972,32023,1035,2411,20.75,0.61,1.41,False
Романович Александр Леонидович,37,6076,170972,32023,1035,2411,20.75,0.61,1.41,False
Андрусенко Наталия Юрьевна,38,5179,254738,58759,944,2146,24.28,0.37,0.84,False
Глек Игорь Владимирович,38,15437,254738,58759,944,2146,24.28,0.37,0.84,False
Еремина Людмила Александровна,38,9175,254738,58759,944,2146,24.28,0.37,0.84,False
Козлов Александр Михайлович,38,22021,254738,58759,944,2146,24.28,0.37,0.84,True
Смирнов Станислав Александрович,38,6523,254738,58759,944,2146,24.28,0.37,0.84,False
Безрядов Андрей Валерьевич,39,4483,184190,39424,1075,1986,23.07,0.58,1.08,False
Бестаев Николай Самсонович,39,4274,184190,39424,1075,1986,23.07,0.58,1.08,False
Видьманов Александр Олегович,39,11945,184190,39424,1075,1986,23.07,0.58,1.08,False
Головченко Валерий Владимирович,39,14992,184190,39424,1075,1986,23.07,0.58,1.08,True
Митяев Александр Константинович,39,4374,184190,39424,1075,1986,23.07,0.58,1.08,False
Батышева Татьяна Тимофеевна,40,13280,183216,33116,788,1955,19.57,0.43,1.07,True
Гераськин Сергей Федорович,40,2601,183216,33116,788,1955,19.57,0.43,1.07,False
Матвеев Сергей Иванович,40,1308,183216,33116,788,1955,19.57,0.43,1.07,False
Михайловский Александр Всеволодович,40,3585,183216,33116,788,1955,19.57,0.43,1.07,False
Мороз Сергей Борисович,40,1866,183216,33116,788,1955,19.57,0.43,1.07,False
Суханов Игорь Владимирович,40,11718,183216,33116,788,1955,19.57,0.43,1.07,False
Богатыренко Герман Юрьевич,41,2154,163708,27592,875,2268,18.77,0.53,1.39,False
Герасимов Евгений Владимирович,41,12602,163708,27592,875,2268,18.77,0.53,1.39,True
Павлова Екатерина Геннадьевна,41,2002,163708,27592,875,2268,18.77,0.53,1.39,False
Соболев Алексей Анатольевич,41,2228,163708,27592,875,2268,18.77,0.53,1.39,False
Фролова Ольга Викторовна,41,10546,163708,27592,875,2268,18.77,0.53,1.39,False
Енгалычева Екатерина Александровна,42,14298,160709,30185,1013,2318,20.86,0.63,1.44,True
Кагарлицкий Борис Юльевич,42,2974,160709,30185,1013,2318,20.86,0.63,1.44,False
Коршунова Ольга Сергеевна,42,1203,160709,30185,1013,2318,20.86,0.63,1.44,False
Костычева Марина Александровна,42,916,160709,30185,1013,2318,20.86,0.63,1.44,False
Меньшиков Михаил Васильевич,42,2936,160709,30185,1013,2318,20.86,0.63,1.44,False
Никитин Кирилл Михайлович,42,6948,160709,30185,1013,2318,20.86,0.63,1.44,False
Раменский Павел Олегович,42,3179,160709,30185,1013,2318,20.86,0.63,1.44,False
Боровик Евгений Михайлович,43,4952,144778,32966,822,2383,24.98,0.57,1.65,False
Климентьев Роман Валерьевич,43,6529,144778,32966,822,2383,24.98,0.57,1.65,False
Кошлаков-Крестовский Дмитрий Владимирович,43,7231,144778,32966,822,2383,24.98,0.57,1.65,False
Митрохин Сергей Сергеевич,43,16120,144778,32966,822,2383,24.98,0.57,1.65,True
Нечаева Екатерина Сергеевна,44,1714,157114,33582,577,3143,23.74,0.37,2.0,False
Свиридов Илья Тимурович,44,15738,157114,33582,577,3143,23.74,0.37,2.0,False
Шалимова Надежда Валерьевна,44,1793,157114,33582,577,3143,23.74,0.37,2.0,False
Шувалова Елена Анатольевна,44,16710,157114,33582,577,3143,23.74,0.37,2.0,True
Касамара Валерия Александровна,45,11014,148192,30459,592,3058,23.02,0.4,2.06,False
Конев Михаил Андреевич,45,3365,148192,30459,592,3058,23.02,0.4,2.06,False
Турушев Евгений Иванович,45,4124,148192,30459,592,3058,23.02,0.4,2.06,False
Яндиев Магомет Исаевич,45,12942,148192,30459,592,3058,23.02,0.4,2.06,True
