name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won
Медовар Юрий Анатольевич,26,1922,146929,30241,851,933,21.8,0.58,0.64,False
Пройдаков Андрей Юрьевич,26,966,146929,30241,851,933,21.8,0.58,0.64,False
Федосов Владислав Владимирович,26,1379,146929,30241,851,933,21.8,0.58,0.64,False
Щитов Кирилл Владимирович,26,16419,146929,30241,851,933,21.8,0.58,0.64,True
Гоголев Виктор Александрович,27,2491,152328,31322,846,1281,21.96,0.56,0.84,False
Добровольский Алексей Юрьевич,27,4872,152328,31322,846,1281,21.96,0.56,0.84,False
Орлов Степан Владимирович,27,23007,152328,31322,846,1281,21.96,0.56,0.84,True
Щербакова Ольга Александровна,27,1645,152328,31322,846,1281,21.96,0.56,0.84,False
Антонцев Михаил Иванович,28,14280,150339,29049,890,1694,21.04,0.59,1.13,True
Жармуханов Николай Люкманович,28,604,150339,29049,890,1694,21.04,0.59,1.13,False
Каров Кирилл Николаевич,28,1787,150339,29049,890,1694,21.04,0.59,1.13,False
Куимов Владимир Михайлович,28,5216,150339,29049,890,1694,21.04,0.59,1.13,False
Мирошина Марина Геннадьевна,28,5365,150339,29049,890,1694,21.04,0.59,1.13,False
Яблоков Алексей Владимирович,28,3241,150339,29049,890,1694,21.04,0.59,1.13,False
Гендин Геннадий Васильевич,29,4054,149556,27813,865,1607,20.25,0.58,1.07,False
Медведев Александр Константинович,29,7274,149556,27813,865,1607,20.25,0.58,1.07,False
Минько Нина Григорьевна,29,10941,149556,27813,865,1607,20.25,0.58,1.07,True
Петров Иван Евгеньевич,29,4835,149556,27813,865,1607,20.25,0.58,1.07,False
Пороховниченко Юрий Иванович,29,1308,149556,27813,865,1607,20.25,0.58,1.07,False
Сонкин Виктор Николаевич,29,815,149556,27813,865,1607,20.25,0.58,1.07,False
Давыдов Денис Владимирович,30,5417,159465,29484,856,1570,20.01,0.54,0.98,False
Елисеев Сергей Геннадиевич,30,1645,159465,29484,856,1570,20.01,0.54,0.98,False
Мишин Алексей Валентинович,30,16069,159465,29484,856,1570,20.01,0.54,0.98,True
Новиков Дмитрий Владимирович,30,2352,159465,29484,856,1570,20.01,0.54,0.98,False
Поняхина Марина Анатольевна,30,1489,159465,29484,856,1570,20.01,0.54,0.98,False
Репкина Елена Владимировна,30,3860,159465,29484,856,1570,20.01,0.54,0.98,False
Анохин Сергей Владимирович,31,1346,148225,28338,890,1544,20.76,0.6,1.04,False
Грязнова Варвара Леонидовна,31,4259,148225,28338,890,1544,20.76,0.6,1.04,False
Зверев Сергей Иванович,31,16018,148225,28338,890,1544,20.76,0.6,1.04,True
Курафеев Александр Юрьевич,31,4536,148225,28338,890,1544,20.76,0.6,1.04,False
Новикова Анна Сергеевна,31,1033,148225,28338,890,1544,20.76,0.6,1.04,False
Сухов Олег Владимирович,31,2288,148225,28338,890,1544,20.76,0.6,1.04,False
Гончаров Кирилл Алексеевич,32,7944,152142,30832,679,2023,22.04,0.45,1.33,False
Дьячков Роман Михайлович,32,4326,152142,30832,679,2023,22.04,0.45,1.33,False
Журавский Сергей Владимирович,32,1807,152142,30832,679,2023,22.04,0.45,1.33,False
Ломакина Татьяна Евгеньевна,32,12036,152142,30832,679,2023,22.04,0.45,1.33,True
Почукаев Анатолий Юрьевич,32,2927,152142,30832,679,2023,22.04,0.45,1.33,False
Чернышов Борис Александрович,32,1828,152142,30832,679,2023,22.04,0.45,1.33,False
Шинкаренко Татьяна Андреевна,32,1510,152142,30832,679,2023,22.04,0.45,1.33,False
Греков Платон Евгеньевич,33,2403,176030,32040,702,1287,19.33,0.4,0.73,False
Гусева Людмила Ивановна,33,18979,176030,32040,702,1287,19.33,0.4,0.73,True
Макаров Вячеслав Геннадьевич,33,2199,176030,32040,702,1287,19.33,0.4,0.73,False
Попов Александр Викторович,33,3143,176030,32040,702,1287,19.33,0.4,0.73,False
Тарасов Антон Александрович,33,6155,176030,32040,702,1287,19.33,0.4,0.73,False
Животов Геннадий Васильевич,34,5424,168565,31214,504,1453,19.68,0.3,0.86,False
Кочетков Владимир Валерьевич,34,7034,168565,31214,504,1453,19.68,0.3,0.86,False
Огородников Георгий Борисович,34,3358,168565,31214,504,1453,19.68,0.3,0.86,False
Семенников Александр Григорьевич,34,13913,168565,31214,504,1453,19.68,0.3,0.86,True
Юриков Антон Вадимович,34,2209,168565,31214,504,1453,19.68,0.3,0.86,False
Анохина Ольга Ярославовна,35,6393,177390,35112,463,1823,21.08,0.26,1.03,False
Борщев Валерий Васильевич,35,5420,177390,35112,463,1823,21.08,0.26,1.03,False
Васильев Сергей Иванович,35,8579,177390,35112,463,1823,21.08,0.26,1.03,False
Лайшев Ренат Алексеевич,35,13771,177390,35112,463,1823,21.08,0.26,1.03,True
Паращенко Сергей Николаевич,35,869,177390,35112,463,1823,21.08,0.26,1.03,False
Устинов Арсений Григорьевич,35,1126,177390,35112,463,1823,21.08,0.26,1.03,False
Волков Николай Юрьевич,36,4561,145974,27853,805,1840,20.89,0.55,1.26,False
Гринченко Владимир Владимирович,36,1137,145974,27853,805,1840,20.89,0.55,1.26,False
Росс Сергей Геннадьевич,36,4843,145974,27853,805,1840,20.89,0.55,1.26,False
Семенов Григорий Викторович,36,3515,145974,27853,805,1840,20.89,0.55,1.26,False
Шарапова Ольга Викторовна,36,15222,145974,27853,805,1840,20.89,0.55,1.26,True
Вышегородцев Михаил Михайлович,37,4454,174390,32568,815,1799,20.17,0.47,1.03,False
Губенко Николай Николаевич,37,11145,174390,32568,815,1799,20.17,0.47,1.03,True
Мишин Геннадий Александрович,37,1203,174390,32568,815,1799,20.17,0.47,1.03,False
Рамазанов Сираждин Омарович,37,434,174390,32568,815,1799,20.17,0.47,1.03,False
Рублева Юлия Владимировна,37,3091,174390,32568,815,1799,20.17,0.47,1.03,False
Русакова Елена Леонидовна,37,9002,174390,32568,815,1799,20.17,0.47,1.03,False
Сильнов Алексей Сергеевич,37,4421,174390,32568,815,1799,20.17,0.47,1.03,False
Балакин Михаил Дмитриевич,38,20450,184405,42769,292,1470,24.15,0.16,0.8,True
Сагенбаев Игорь Александрович,38,9399,184405,42769,292,1470,24.15,0.16,0.8,False
Токаев Борис Владимирович,38,2197,184405,42769,292,1470,24.15,0.16,0.8,False
Хандриков Илья Николаевич,38,3079,184405,42769,292,1470,24.15,0.16,0.8,False
Шелудько Александр Леонидович,38,2070,184405,42769,292,1470,24.15,0.16,0.8,False
Ширяев Денис Александрович,38,5262,184405,42769,292,1470,24.15,0.16,0.8,False
Лябихов Роман Михайлович,39,3719,158930,34507,716,1558,23.14,0.45,0.98,False
Московченко Николай Михайлович,39,4283,158930,34507,716,1558,23.14,0.45,0.98,False
Ноздрин Александр Дмитриевич,39,1536,158930,34507,716,1558,23.14,0.45,0.98,False
Палеев Антон Рафаэльевич,39,14368,158930,34507,716,1558,23.14,0.45,0.98,True
Сиднев Виктор Владимирович,39,10107,158930,34507,716,1558,23.14,0.45,0.98,False
Сысоев Дмитрий Ростиславович,39,1259,158930,34507,716,1558,23.14,0.45,0.98,False
Милявский Александр Борисович,40,17609,173716,31972,697,1777,19.83,0.4,1.02,True
Павленков Юрий Викторович,40,2495,173716,31972,697,1777,19.83,0.4,1.02,False
Радаева Ольга Вячеславовна,40,4191,173716,31972,697,1777,19.83,0.4,1.02,False
Раменский Павел Олегович,40,3255,173716,31972,697,1777,19.83,0.4,1.02,False
Святошенко Владимир Алексеевич,40,5572,173716,31972,697,1777,19.83,0.4,1.02,False
Александрова Мария Александровна,41,5947,164090,28076,637,1644,18.5,0.39,1.0,False
Захаркин Руслан Игоревич,41,2164,164090,28076,637,1644,18.5,0.39,1.0,False
Казенков Олег Юрьевич,41,3380,164090,28076,637,1644,18.5,0.39,1.0,False
Лемперт Петр Иванович,41,3220,164090,28076,637,1644,18.5,0.39,1.0,False
Поселёнов Павел Александрович,41,12192,164090,28076,637,1644,18.5,0.39,1.0,True
Тупикин Дмитрий Васильевич,41,2236,164090,28076,637,1644,18.5,0.39,1.0,False
Батышева Татьяна Тимофеевна,42,14314,160228,28875,702,2046,19.74,0.44,1.28,True
Логинов Алексей Михайлович,42,1439,160228,28875,702,2046,19.74,0.44,1.28,False
Меньшиков Михаил Васильевич,42,4911,160228,28875,702,2046,19.74,0.44,1.28,False
Новиков Юрий Михайлович,42,6884,160228,28875,702,2046,19.74,0.44,1.28,False
Чуев Александр Викторович,42,2989,160228,28875,702,2046,19.74,0.44,1.28,False
Денисенко Татьяна Ивановна,43,6624,148136,29515,133,1844,21.26,0.09,1.24,False
Иваненко Сергей Викторович,43,3566,148136,29515,133,1844,21.26,0.09,1.24,False
Иксанова Арина Тахировна,43,1962,148136,29515,133,1844,21.26,0.09,1.24,False
Кравченко Юрий Александрович,43,959,148136,29515,133,1844,21.26,0.09,1.24,False
Шастина Вера Ростиславовна,43,8942,148136,29515,133,1844,21.26,0.09,1.24,True
Ярмольник Леонид Исаакович,43,8626,148136,29515,133,1844,21.26,0.09,1.24,False
Гнездилов Александр Валентинович,44,4876,158895,28099,66,2145,19.08,0.04,1.35,False
Пономарёв Константин Алексеевич,44,2036,158895,28099,66,2145,19.08,0.04,1.35,False
Свиридов Илья Тимурович,44,10494,158895,28099,66,2145,19.08,0.04,1.35,False
Шувалова Елена Анатольевна,44,11845,158895,28099,66,2145,19.08,0.04,1.35,True
Бабич Барбара Адамовна,45,702,151365,28921,164,2335,20.76,0.11,1.54,False
Кавказский Николай Юрьевич,45,4010,151365,28921,164,2335,20.76,0.11,1.54,False
Комендантов Антон Андреевич,45,783,151365,28921,164,2335,20.76,0.11,1.54,False
Кузьминов Ярослав Иванович,45,12860,151365,28921,164,2335,20.76,0.11,1.54,True
Симонян Кристина Владиславовна,45,3527,151365,28921,164,2335,20.76,0.11,1.54,False
Умников Антон Геннадьевич,45,1234,151365,28921,164,2335,20.76,0.11,1.54,False
Фомичева Елена Алексеевна,45,7347,151365,28921,164,2335,20.76,0.11,1.54,False
