name, party
Солянин Валерий Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Гуличева Елена Петровна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Новиков Юрий Николаевич,Московское городское отделение политической партии Либерально-демократическая партия России
Платонов Владимир Михайлович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Прочик Евгений Евгеньевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Шишкин Сергей Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Зотов Владимир Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Зотова Зоя Михайловна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Ким Сергей Степанович,Самовыдвижение
Овчаренко Татьяна Иосифовна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Протасов Роман Игоревич,Московское городское отделение политической партии Либерально-демократическая партия России
Тарасов Павел Михайлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Ананьев Олег Вячеславович,Самовыдвижение
Антонов-Овсеенко Антон Антонович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Енгалычева Екатерина Александровна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Козадаев Сергей Сергеевич,Московское городское отделение политической партии Либерально-демократическая партия России
Мещерякова Наталья Юрьевна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Стебенкова Людмила Васильевна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Балашов Евгений Борисович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Медовар Юрий Анатольевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Пройдаков Андрей Юрьевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Федосов Владислав Владимирович,Московское городское отделение политической партии Либерально-демократическая партия России
Щитов Кирилл Владимирович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Гоголев Виктор Александрович,Самовыдвижение
Добровольский Алексей Юрьевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Орлов Степан Владимирович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Щербакова Ольга Александровна,Московское городское отделение политической партии Либерально-демократическая партия России
Антонцев Михаил Иванович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Жармуханов Николай Люкманович,Самовыдвижение
Каров Кирилл Николаевич,Московское городское отделение политической партии Либерально-демократическая партия России
Куимов Владимир Михайлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Мирошина Марина Геннадьевна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Яблоков Алексей Владимирович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Гендин Геннадий Васильевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
