,name,party,smart_vote,joined_united_rus,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,state_employee,affiliation
132,Ерохов Сергей Викторович,8,0,-1,27,1999,144980,29069,513,1876,21.7,0.35,1.29,0,0,-1,2
133,Коровин Сергей Николаевич,5,0,-1,27,2285,144980,29069,513,1876,21.7,0.35,1.29,0,0,-1,2
134,Елисеев Сергей Геннадиевич,5,0,-1,28,2377,143737,26861,431,2632,20.82,0.3,1.83,0,1,-1,2
135,Лазарев Константин Александрович,4,1,-1,28,6992,143737,26861,431,2632,20.82,0.3,1.83,0,1,-1,2
136,Павлинов Аркадий Борисович,8,0,-1,28,7716,143737,26861,431,2632,20.82,0.3,1.83,0,1,-1,2
137,Самышина Елена Александровна,0,0,1,28,11570,143737,26861,431,2632,20.82,0.3,1.83,1,1,1,1
138,Артемьев Олег Германович,0,0,1,29,11560,147489,25366,470,2065,18.92,0.32,1.4,1,1,1,1
139,Журавский Сергей Владимирович,8,0,-1,29,2337,147489,25366,470,2065,18.92,0.32,1.4,0,1,-1,2
140,Сергеев Николай Владимирович,4,1,-1,29,9288,147489,25366,470,2065,18.92,0.32,1.4,0,1,-1,2
141,Чернышов Борис Александрович,5,0,-1,29,3510,147489,25366,470,2065,18.92,0.32,1.4,0,1,-1,2
142,Русецкая Маргарита Николаевна,0,0,1,30,9645,155055,31819,316,1799,21.89,0.2,1.16,1,3,1,1
143,Викулин Петр Николаевич,3,0,-1,30,2641,155055,31819,316,1799,21.89,0.2,1.16,0,3,-1,0
144,Галибин Илья Геннадьевич,5,0,-1,30,1387,155055,31819,316,1799,21.89,0.2,1.16,0,3,-1,2
145,Жуковский Владислав Сергеевич,4,1,-1,30,8346,155055,31819,316,1799,21.89,0.2,1.16,0,3,-1,2
146,Цыба Алексей Николаевич,8,0,-1,30,1156,155055,31819,316,1799,21.89,0.2,1.16,0,3,-1,2
147,Юнеман Роман Александрович,0,0,-1,30,9561,155055,31819,316,1799,21.89,0.2,1.16,0,3,0,2
