,name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated,affiliation
215,Токаев Борис Владимирович,38,2197,184405,42769,292,1470,24.15,0.16,0.8,False,0,0,2,0,0
216,Хандриков Илья Николаевич,38,3079,184405,42769,292,1470,24.15,0.16,0.8,False,9,0,2,0,2
217,Шелудько Александр Леонидович,38,2070,184405,42769,292,1470,24.15,0.16,0.8,False,0,0,2,0,0
218,Ширяев Денис Александрович,38,5262,184405,42769,292,1470,24.15,0.16,0.8,False,8,0,2,0,2
219,Лябихов Роман Михайлович,39,3719,158930,34507,716,1558,23.14,0.45,0.98,False,4,0,1,0,2
220,Московченко Николай Михайлович,39,4283,158930,34507,716,1558,23.14,0.45,0.98,False,8,0,1,0,2
221,Ноздрин Александр Дмитриевич,39,1536,158930,34507,716,1558,23.14,0.45,0.98,False,5,0,1,0,2
222,Палеев Антон Рафаэльевич,39,14368,158930,34507,716,1558,23.14,0.45,0.98,True,10,1,1,1,1
223,Сиднев Виктор Владимирович,39,10107,158930,34507,716,1558,23.14,0.45,0.98,False,11,0,1,0,2
224,Сысоев Дмитрий Ростиславович,39,1259,158930,34507,716,1558,23.14,0.45,0.98,False,9,0,1,0,2
225,Милявский Александр Борисович,40,17609,173716,31972,697,1777,19.83,0.4,1.02,True,10,1,2,1,1
226,Павленков Юрий Викторович,40,2495,173716,31972,697,1777,19.83,0.4,1.02,False,8,0,2,0,2
227,Радаева Ольга Вячеславовна,40,4191,173716,31972,697,1777,19.83,0.4,1.02,False,9,0,2,0,2
228,Раменский Павел Олегович,40,3255,173716,31972,697,1777,19.83,0.4,1.02,False,5,0,2,0,2
229,Святошенко Владимир Алексеевич,40,5572,173716,31972,697,1777,19.83,0.4,1.02,False,4,0,2,0,2
230,Александрова Мария Александровна,41,5947,164090,28076,637,1644,18.5,0.39,1.0,False,4,0,1,0,2
231,Захаркин Руслан Игоревич,41,2164,164090,28076,637,1644,18.5,0.39,1.0,False,5,0,1,0,2
232,Казенков Олег Юрьевич,41,3380,164090,28076,637,1644,18.5,0.39,1.0,False,8,0,1,0,2
233,Лемперт Петр Иванович,41,3220,164090,28076,637,1644,18.5,0.39,1.0,False,11,0,1,0,0
234,Поселёнов Павел Александрович,41,12192,164090,28076,637,1644,18.5,0.39,1.0,True,10,1,1,1,1
235,Тупикин Дмитрий Васильевич,41,2236,164090,28076,637,1644,18.5,0.39,1.0,False,9,0,1,0,2
236,Батышева Татьяна Тимофеевна,42,14314,160228,28875,702,2046,19.74,0.44,1.28,True,10,1,3,1,1
237,Логинов Алексей Михайлович,42,1439,160228,28875,702,2046,19.74,0.44,1.28,False,5,0,3,0,2
238,Меньшиков Михаил Васильевич,42,4911,160228,28875,702,2046,19.74,0.44,1.28,False,9,0,3,0,2
239,Новиков Юрий Михайлович,42,6884,160228,28875,702,2046,19.74,0.44,1.28,False,4,0,3,0,2
240,Чуев Александр Викторович,42,2989,160228,28875,702,2046,19.74,0.44,1.28,False,8,0,3,0,2
241,Денисенко Татьяна Ивановна,43,6624,148136,29515,133,1844,21.26,0.09,1.24,False,4,0,3,0,2
