name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Букреев Виктор Васильевич,20,3664,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,5
Даниловцев Валерий Валерьевич,20,4137,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,8
Захаров Дмитрий Александрович,20,3112,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,3
Ступин Евгений Викторович,20,17496,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,True,1,1,0,-1,4
Шингаркин Максим Андреевич,20,8512,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,7
Бородина Екатерина Сергеевна,21,3173,151844,26730,313,3048,19.817049076683965,1.0401781263500713,10.129274533913796,False,0,0,-1,-1,8
Зюганов Леонид Андреевич,21,17233,151844,26730,313,3048,19.817049076683965,1.0401781263500713,10.129274533913796,True,0,1,0,-1,4
Шах Андрей Викторович,21,2767,151844,26730,313,3048,19.817049076683965,1.0401781263500713,10.129274533913796,False,0,0,-1,-1,5
Шевченко Вера Леонидовна,21,5362,151844,26730,313,3048,19.817049076683965,1.0401781263500713,10.129274533913796,False,0,0,-1,1,0
Бадмаев Владимир Владимирович,22,1809,151896,31501,330,2028,22.290909569705587,0.9746300835819133,5.989544877285212,False,0,0,-1,-1,3
Егоров Антон Олегович,22,2475,151896,31501,330,2028,22.290909569705587,0.9746300835819133,5.989544877285212,False,0,0,-1,-1,5
Монастырев Дмитрий Юрьевич,22,1849,151896,31501,330,2028,22.290909569705587,0.9746300835819133,5.989544877285212,False,0,0,-1,-1,8
Сараев Дмитрий Михайлович,22,11018,151896,31501,330,2028,22.290909569705587,0.9746300835819133,5.989544877285212,False,0,1,-1,-1,4
Святенко Инна Юрьевна,22,15190,151896,31501,330,2028,22.290909569705587,0.9746300835819133,5.989544877285212,True,0,0,1,1,0
Булатов Антон Эминович,23,2183,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,False,4,0,-1,-1,3
Гуличева Елена Геннадьевна,23,10782,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,False,4,1,-1,-1,4
Николаева Елена Леонидовна,23,12119,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,True,4,0,1,1,0
Померанцев Георгий Александрович,23,2694,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,False,4,0,-1,-1,5
Абраменко Екатерина Анатольевна,24,2565,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,-1,8
