name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,joined_united_rus,ur_affiliated,party,affiliation
Зотов Владимир Владимирович,24,5163,175114,35375,686,3374,22.519615793140467,1.7395714466844174,8.555851401039686,False,2,0,0,8,2
Зотова Зоя Михайловна,24,15922,175114,35375,686,3374,22.519615793140467,1.7395714466844174,8.555851401039686,True,2,1,1,10,1
Ким Сергей Степанович,24,1270,175114,35375,686,3374,22.519615793140467,1.7395714466844174,8.555851401039686,False,2,0,0,0,0
Овчаренко Татьяна Иосифовна,24,3434,175114,35375,686,3374,22.519615793140467,1.7395714466844174,8.555851401039686,False,2,0,0,9,2
Протасов Роман Игоревич,24,1917,175114,35375,686,3374,22.519615793140467,1.7395714466844174,8.555851401039686,False,2,0,0,5,2
Тарасов Павел Михайлович,24,10314,175114,35375,686,3374,22.519615793140467,1.7395714466844174,8.555851401039686,False,2,0,0,4,2
Ананьев Олег Вячеславович,25,2355,148539,29113,295,2326,21.364086199583948,0.9296023192790068,7.32967794794227,False,7,0,1,0,0
Антонов-Овсеенко Антон Антонович,25,2358,148539,29113,295,2326,21.364086199583948,0.9296023192790068,7.32967794794227,False,7,0,0,9,2
Енгалычева Екатерина Александровна,25,5244,148539,29113,295,2326,21.364086199583948,0.9296023192790068,7.32967794794227,False,7,0,0,4,2
Козадаев Сергей Сергеевич,25,1588,148539,29113,295,2326,21.364086199583948,0.9296023192790068,7.32967794794227,False,7,0,0,5,2
Мещерякова Наталья Юрьевна,25,2303,148539,29113,295,2326,21.364086199583948,0.9296023192790068,7.32967794794227,False,7,0,0,8,2
Стебенкова Людмила Васильевна,25,16701,148539,29113,295,2326,21.364086199583948,0.9296023192790068,7.32967794794227,True,7,1,1,10,1
Балашов Евгений Борисович,26,10330,146929,30241,851,933,21.796241722192352,2.657298985167837,2.9133489461358315,False,1,0,0,4,2
Медовар Юрий Анатольевич,26,1922,146929,30241,851,933,21.796241722192352,2.657298985167837,2.9133489461358315,False,1,0,0,9,2
Пройдаков Андрей Юрьевич,26,966,146929,30241,851,933,21.796241722192352,2.657298985167837,2.9133489461358315,False,1,0,0,8,2
Федосов Владислав Владимирович,26,1379,146929,30241,851,933,21.796241722192352,2.657298985167837,2.9133489461358315,False,1,0,0,5,2
Щитов Кирилл Владимирович,26,16419,146929,30241,851,933,21.796241722192352,2.657298985167837,2.9133489461358315,True,1,1,1,10,1
Гоголев Виктор Александрович,27,2491,152328,31322,846,1281,21.95853684155244,2.5292235941283745,3.829710903166014,False,2,0,0,0,0
Добровольский Алексей Юрьевич,27,4872,152328,31322,846,1281,21.95853684155244,2.5292235941283745,3.829710903166014,False,2,0,0,4,2
Орлов Степан Владимирович,27,23007,152328,31322,846,1281,21.95853684155244,2.5292235941283745,3.829710903166014,True,2,1,1,10,1
Щербакова Ольга Александровна,27,1645,152328,31322,846,1281,21.95853684155244,2.5292235941283745,3.829710903166014,False,2,0,0,5,2
Антонцев Михаил Иванович,28,14280,150339,29049,890,1694,21.041113749592583,2.813517529162584,5.355167072361142,True,1,1,1,10,1
Жармуханов Николай Люкманович,28,604,150339,29049,890,1694,21.041113749592583,2.813517529162584,5.355167072361142,False,1,0,0,0,0
Каров Кирилл Николаевич,28,1787,150339,29049,890,1694,21.041113749592583,2.813517529162584,5.355167072361142,False,1,0,0,5,2
