name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party,affiliation
Бернев Владимир Владимирович,32,2192,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,0,-1,-1,5,2
Залищак Владимир Борисович,32,2192,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,1,-1,-1,8,2
Куликов Денис Павлович,32,1665,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,0,-1,-1,3,0
Лихачев Клим Сергеевич,32,11679,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,0,-1,-1,4,2
Мельникова Ольга Николаевна,32,12119,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,True,1,0,1,1,0,1
Падалка Сергей Андреевич,32,2155,145555,29467,486,3330,22.866270481948405,1.460204909413214,10.005107712646096,False,1,0,-1,-1,2,0
Гринченко Владимир Владимирович,33,3127,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,0,-1,-1,5,2
Гусева Людмила Ивановна,33,14401,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,True,1,0,1,1,0,1
Папян Гарегин Гришаевич,33,1132,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,0,-1,-1,8,2
Присняк Виктор Владимирович,33,1451,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,0,-1,-1,7,0
Смирнов Левон Леонидович,33,11284,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,1,-1,-1,4,2
Федоров Павел Сергеевич,33,2731,184588,32959,932,1471,19.157258326651785,2.635597534076127,4.159832588654488,False,1,0,-1,-1,3,0
Гладкова Юлия Генриховна,34,11314,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,False,0,1,-1,-1,4,2
Семенников Александр Григорьевич,34,11888,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,True,0,0,1,1,0,1
Филатов Александр Иванович,34,2071,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,False,0,0,-1,-1,3,0
